Wed Jan 28 00:29:19 2026    stats/profile.stats

         24485970 function calls (24311227 primitive calls) in 368.225 seconds

   Ordered by: cumulative time
   List reduced from 2638 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   223464    0.490    0.000    0.490    0.000 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/models/gpt_oss.py:74(__call__)
   111492    0.462    0.000    0.471    0.000 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/cache.py:193(_update_in_place)
   339077    0.463    0.000    0.463    0.000 {method 'translate' of 'str' objects}
       81    0.000    0.000    0.444    0.005 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/prompt_cache.py:47(_ensure_base_tokens)
       25    0.001    0.000    0.438    0.018 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/json/__init__.py:274(load)
       20    0.000    0.000    0.410    0.020 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/chat_adapters.py:87(parse)
       20    0.001    0.000    0.410    0.020 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/chat_harmony.py:29(parse_harmony_response)
       40    0.000    0.000    0.369    0.009 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/prompt_cache.py:72(_message_token_ids)
   456239    0.344    0.000    0.344    0.000 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/site-packages/mlx/nn/layers/normalization.py:142(__call__)
    289/4    0.001    0.000    0.315    0.079 <frozen importlib._bootstrap>:1349(_find_and_load)
    286/4    0.001    0.000    0.315    0.079 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    270/4    0.000    0.000    0.315    0.079 <frozen importlib._bootstrap>:911(_load_unlocked)
    262/4    0.000    0.000    0.315    0.079 <frozen importlib._bootstrap_external>:993(exec_module)


